0.005,0.005,0
0.04,0.005,0
0.075,0.005,0
0.11,0.005,0
0.145,0.005,0
0.005,0.04,0
0.04,0.04,0
0.075,0.04,0
0.11,0.04,0
0.145,0.04,0
0.005,0.075,0
0.04,0.075,0
0.075,0.075,0
0.11,0.075,0
0.145,0.075,0
0.005,0.11,0
0.04,0.11,0
0.075,0.11,0
0.11,0.11,0
0.145,0.11,0
0.005,0.145,0
0.04,0.145,0
0.075,0.145,0
0.11,0.145,0
0.145,0.145,0
0.0225,0.0225,0
0.0575,0.0225,0
0.0925,0.0225,0
0.1275,0.0225,0
0.0225,0.0575,0
0.0575,0.0575,0
0.0925,0.0575,0
0.1275,0.0575,0
0.0225,0.0925,0
0.0575,0.0925,0
0.0925,0.0925,0
0.1275,0.0925,0
0.0225,0.1275,0
0.0575,0.1275,0
0.0925,0.1275,0
0.1275,0.1275,0
